Avg_ch1,Err_ch1,Avg_ch2,Err_ch2,Avg_ch3,Err_ch3,Avg_ch4,Err_ch4
83.157,0.5631612154210858,45.929,0.4145210050934255,83.928,0.5917443919678711,56.223,0.45695283114331386
Sample,ch1,ch2,ch3,ch4
875,83,40,63,62
876,75,40,88,49
877,89,44,78,52
878,82,42,83,50
879,101,47,87,54
880,72,49,85,53
881,79,50,91,45
882,90,46,82,61
883,80,31,82,46
884,86,41,91,45
885,87,51,80,66
886,81,41,91,54
887,79,39,95,66
888,82,38,77,51
889,82,45,83,55
890,98,42,74,54
891,74,51,83,61
892,93,50,66,55
893,96,55,92,53
894,70,38,111,56
895,89,42,80,57
896,74,51,89,48
897,78,56,68,64
898,83,47,83,74
899,87,42,84,57
900,79,46,78,49
901,83,47,100,61
902,86,37,87,44
903,90,47,85,62
904,93,52,98,43
905,83,51,91,66
906,68,48,74,57
907,70,43,78,52
908,79,52,84,53
909,86,46,70,50
910,93,40,97,61
911,78,39,89,53
912,85,40,76,61
913,78,40,84,58
914,76,42,93,59
915,87,54,87,52
916,84,46,94,51
917,90,45,85,51
918,67,55,73,55
919,73,56,89,36
920,90,37,85,56
921,71,41,78,50
922,79,52,83,58
923,81,51,68,60
924,81,47,55,56
925,80,54,67,65
926,72,36,96,54
927,72,40,98,64
928,75,41,84,53
929,75,44,86,45
930,72,41,76,61
931,87,59,84,54
932,97,43,92,55
933,98,36,87,58
934,79,48,106,42
935,81,43,87,53
936,95,45,88,64
937,77,42,97,65
938,77,47,82,63
939,95,44,88,51
940,98,56,69,52
941,90,51,83,50
942,75,60,78,57
943,75,37,75,50
944,98,43,77,57
945,91,58,81,48
946,76,40,88,48
947,83,54,92,59
948,75,44,74,52
949,92,52,82,49
950,71,53,74,54
951,70,39,80,63
952,73,42,82,58
953,92,52,85,55
954,95,45,81,58
955,101,49,84,59
956,77,41,67,57
957,95,46,86,57
958,75,45,64,61
959,83,38,98,46
960,84,43,86,51
961,91,56,94,63
962,78,53,94,51
963,81,49,84,58
964,77,43,80,51
965,97,44,73,58
966,77,37,81,67
967,77,44,82,62
968,78,56,90,60
969,89,37,74,56
970,80,52,77,43
971,76,47,70,54
972,86,59,80,47
973,92,53,95,78
974,99,34,76,51
975,92,43,79,44
976,85,55,80,54
977,82,40,73,45
978,83,56,68,58
979,93,56,80,52
980,71,47,69,63
981,81,50,95,58
982,82,50,84,53
983,90,37,98,64
984,82,45,95,48
985,89,49,90,57
986,79,52,73,62
987,85,39,78,46
988,64,43,90,68
989,89,37,86,52
990,81,38,76,52
991,86,52,75,76
992,85,45,75,47
993,73,43,80,45
994,95,52,76,59
995,75,38,85,59
996,78,59,71,51
997,80,41,77,66
998,76,50,87,63
999,96,43,107,61
1000,93,44,76,49
