Avg_ch1,Err_ch1,Avg_ch2,Err_ch2,Avg_ch3,Err_ch3,Avg_ch4,Err_ch4,Avg_coinc12,Err_coinc12
7563.461,5.697360602404751,8727.234,6.138554131293689,85.586,0.554275777603205,57.216,0.4752844109281002,633.753,1.6579181694693668
Sample,ch1,ch2,ch3,ch4,coinc12
741,7456,8576,89,43,625
742,7405,8626,88,45,617
743,7728,8729,64,51,653
744,7615,8757,78,56,613
745,7551,8747,88,60,659
746,7444,8494,84,57,598
747,7589,8569,90,58,654
748,7773,8793,90,50,660
749,7463,8620,74,67,584
750,7584,8648,77,62,622
751,7591,8743,103,60,639
752,7431,8682,85,52,634
753,7601,8522,86,62,606
754,7532,8678,88,54,626
755,7505,8752,93,54,652
756,7692,8744,84,72,623
757,7703,8769,84,40,656
758,7466,8702,79,51,641
759,7538,8589,76,67,638
760,7696,8718,118,50,633
761,7623,8585,71,72,634
762,7482,8719,80,53,650
763,7701,8637,102,49,632
764,7682,8674,79,50,664
765,7632,8687,78,56,636
766,7641,8675,92,46,626
767,7517,8744,75,67,609
768,7507,8824,93,51,692
769,7476,8656,81,58,582
770,7431,8742,74,38,622
771,7609,8801,85,61,656
772,7549,8677,81,66,640
773,7662,8620,77,64,597
774,7518,8665,68,43,619
775,7698,8610,95,67,606
776,7684,8809,75,56,646
777,7684,8993,79,52,660
778,7688,8816,90,45,639
779,7653,8853,93,59,695
780,7621,8850,98,63,621
781,7426,8580,88,65,618
782,7719,8738,79,54,667
783,7580,8840,90,52,599
784,7608,8693,86,66,671
785,7583,8711,98,56,652
786,7483,8735,90,55,602
787,7540,8666,73,73,660
788,7616,8890,93,52,676
789,7629,8602,91,46,613
790,7582,8523,75,48,599
791,7580,8701,85,50,634
792,7473,8731,85,55,615
793,7502,8807,91,58,627
794,7689,8605,102,61,626
795,7467,8721,86,73,700
796,7603,8883,70,58,646
797,7506,8898,85,52,660
798,7729,8878,87,52,631
799,7536,8676,91,66,630
800,7587,8645,90,62,665
801,7709,8722,72,50,631
802,7482,8588,88,63,624
803,7638,8766,83,59,695
804,7525,8737,76,67,631
805,7480,8819,93,60,654
806,7500,8631,80,54,589
807,7613,8871,97,55,625
808,7562,8829,84,54,646
809,7646,8790,74,56,703
810,7582,8713,81,65,629
811,7662,8769,89,57,616
812,7634,8635,94,56,647
813,7534,8701,89,66,636
814,7494,8642,89,75,640
815,7410,8825,79,54,636
816,7601,8735,91,59,657
817,7542,8734,84,67,657
818,7514,8752,84,41,633
819,7476,8740,78,65,635
820,7510,8662,99,53,627
821,7571,8853,88,57,628
822,7530,8761,76,61,615
823,7433,8729,70,51,606
824,7551,8565,86,58,640
825,7664,8714,84,52,675
826,7711,8834,95,58,642
827,7659,8665,103,58,620
828,7697,8697,92,54,586
829,7518,8646,83,61,656
830,7628,8755,87,46,610
831,7598,8531,91,42,590
832,7491,8579,93,61,616
833,7536,8752,91,57,638
834,7708,8824,90,56,586
835,7482,8719,96,48,651
836,7479,8714,94,53,636
837,7566,8561,77,51,654
838,7721,8956,99,59,704
839,7503,8605,75,59,648
840,7557,8773,91,59,606
841,7613,8694,74,61,614
842,7524,8627,95,51,546
843,7606,8904,69,67,682
844,7448,8620,97,48,619
845,7258,8639,89,36,560
846,7514,8635,73,47,674
847,7436,8630,80,51,595
848,7488,8651,81,60,600
849,7557,8607,94,50,610
850,7382,8738,92,57,636
851,7604,8517,73,68,631
852,7558,8601,92,49,632
853,7600,8873,87,49,615
854,7391,8608,83,51,626
855,7550,8699,105,47,658
856,7573,8863,89,52,684
857,7657,8587,98,58,603
858,7574,8666,85,64,691
859,7621,8761,77,57,638
860,7506,8719,91,65,650
861,7651,8679,80,55,634
862,7454,8640,97,54,612
863,7654,8634,87,44,642
864,7520,8588,83,43,584
865,7606,8590,79,59,663
866,7560,8689,68,54,658
867,7424,8607,95,54,617
868,7505,8536,72,66,664
869,7482,8769,81,68,633
870,7545,8630,82,68,618
871,7515,8733,88,52,634
872,7682,8768,85,49,639
873,7568,8789,86,67,641
874,7626,8673,92,60,627
875,7338,8601,88,64,604
876,7550,8774,100,58,660
877,7480,8901,73,68,644
878,7556,8670,92,63,640
879,7545,8663,95,54,622
880,7409,8734,91,61,600
881,7582,8634,84,73,620
882,7355,8560,94,50,613
883,7426,8685,91,49,610
884,7521,8767,100,63,626
885,7518,8818,98,68,637
886,7703,8672,90,56,683
887,7570,8623,81,67,593
888,7539,8714,78,75,604
889,7576,8623,93,66,655
890,7551,8694,77,52,644
891,7622,8789,90,54,637
892,7500,8587,80,61,663
893,7691,8704,90,43,623
894,7575,8698,74,80,624
895,7490,8711,78,52,606
896,7535,8735,84,62,664
897,7483,8880,82,75,641
898,7654,8754,94,51,700
899,7503,8581,85,50,652
900,7632,8686,99,56,678
901,7544,8778,71,54,628
902,7567,8589,78,56,574
903,7494,8617,96,54,641
904,7683,8676,83,58,648
905,7385,8594,87,45,613
906,7655,8712,82,53,645
907,7581,8852,87,54,705
908,7562,8679,87,46,609
909,7436,8749,81,66,610
910,7594,8581,89,33,597
911,7620,8718,88,57,615
912,7470,8836,77,62,614
913,7579,8723,84,69,613
914,7607,8500,88,57,581
915,7604,8669,75,50,656
916,7533,8719,72,62,604
917,7626,8679,98,59,603
918,7618,8869,85,55,650
919,7705,8764,80,59,645
920,7427,8468,83,71,613
921,7399,8681,94,74,638
922,7650,8664,84,51,641
923,7525,8814,96,63,606
924,7447,8911,83,46,688
925,7561,8710,72,53,613
926,7642,8471,107,69,617
927,7492,8685,90,58,645
928,7463,8615,98,58,671
929,7679,8780,82,60,650
930,7617,8732,92,54,690
931,7572,8633,82,51,631
932,7565,8606,86,49,624
933,7496,8644,86,51,606
934,7593,8824,70,53,654
935,7573,8826,84,53,609
936,7567,8499,91,55,643
937,7723,8749,75,50,591
938,7490,8526,97,44,614
939,7395,8771,85,66,641
940,7505,8470,91,56,638
