Avg_ch1,Err_ch1,Avg_ch2,Err_ch2,Avg_ch3,Err_ch3,Avg_ch4,Err_ch4,Avg_coinc12,Err_coinc12
7568.012,5.510779265413569,136.64,0.6999682532483565,86.048,0.5871281831963984,56.913,0.47307242735285415,5.277,0.14446436915016087
Sample,ch1,ch2,ch3,ch4,coinc12
748,7365,118,75,57,1
749,7464,157,67,54,8
750,7592,124,71,63,4
751,7640,108,87,63,5
752,7594,141,84,68,7
753,7614,146,88,54,5
754,7445,126,83,50,6
755,7592,129,101,57,6
756,7554,128,75,50,5
757,7610,143,67,61,6
758,7550,155,86,54,13
759,7643,133,98,66,5
760,7391,155,78,59,4
761,7525,127,70,49,1
762,7564,116,85,46,6
763,7567,121,88,65,5
764,7571,142,99,55,11
765,7501,157,91,56,6
766,7513,131,77,68,7
767,7607,145,87,61,4
768,7561,122,85,57,5
769,7453,137,81,58,11
770,7461,122,91,46,3
771,7636,131,81,67,7
772,7628,120,84,49,7
773,7698,146,78,59,8
774,7477,129,85,52,6
775,7334,127,80,55,5
776,7530,143,85,58,3
777,7538,157,98,49,3
778,7500,112,87,57,6
779,7525,160,85,66,5
780,7581,131,91,66,6
781,7603,154,90,54,5
782,7554,131,88,64,2
783,7482,134,77,54,5
784,7613,129,72,63,1
785,7490,154,84,59,2
786,7557,143,86,56,5
787,7488,138,74,57,6
788,7542,133,93,48,4
789,7418,146,72,54,4
790,7701,135,73,57,3
791,7666,138,79,63,6
792,7431,150,85,70,8
793,7653,124,84,62,7
794,7505,134,90,54,5
795,7414,129,80,48,7
796,7608,147,95,57,5
797,7598,134,68,57,1
798,7568,134,98,57,5
799,7616,115,85,66,5
800,7507,121,81,56,4
801,7492,148,89,60,6
802,7564,132,68,47,7
803,7444,152,81,55,4
804,7603,126,79,62,5
805,7655,128,97,48,4
806,7605,148,81,55,4
807,7534,144,75,59,5
808,7398,157,79,56,4
809,7535,123,96,51,2
810,7514,103,84,65,4
811,7572,139,78,64,6
812,7457,141,100,60,4
813,7578,121,89,57,5
814,7551,151,91,50,1
815,7842,121,92,55,6
816,7652,142,95,61,5
817,7455,125,93,43,6
818,7466,145,74,70,7
819,7496,146,88,58,7
820,7491,128,86,72,8
821,7596,146,91,72,2
822,7571,134,88,61,8
823,7645,138,107,50,4
824,7608,135,94,56,7
825,7583,136,81,58,6
826,7686,124,81,53,6
827,7726,136,75,54,3
828,7504,132,73,78,4
829,7586,133,94,57,6
830,7419,139,103,63,4
831,7509,129,71,64,7
832,7634,151,79,71,5
833,7563,135,82,51,5
834,7455,140,100,47,5
835,7559,105,84,39,4
836,7616,140,95,59,4
837,7648,140,84,50,4
838,7470,143,90,60,4
839,7538,161,86,62,4
840,7691,133,79,61,2
841,7566,152,97,50,6
842,7507,148,85,65,1
843,7416,111,80,68,2
844,7477,157,82,63,6
845,7502,135,75,57,5
846,7464,139,81,58,7
847,7625,156,104,54,7
848,7558,140,96,60,5
849,7528,132,79,48,9
850,7436,135,92,67,5
851,7601,142,91,60,3
852,7492,125,117,57,4
853,7628,131,82,60,8
854,7534,136,91,56,6
855,7694,144,84,53,5
856,7677,131,73,43,2
857,7591,127,81,67,11
858,7648,139,92,45,5
859,7604,142,90,67,5
860,7543,145,72,50,3
861,7486,123,92,58,7
862,7512,137,96,66,5
863,7582,144,104,48,5
864,7697,140,94,55,2
865,7527,141,87,48,5
866,7410,140,86,59,7
867,7585,124,91,35,9
868,7661,148,85,46,5
869,7504,145,76,58,1
870,7671,117,85,63,2
871,7604,125,79,66,3
872,7612,148,96,49,7
873,7427,137,84,48,8
874,7775,121,82,67,3
875,7527,126,76,57,3
876,7435,133,82,57,5
877,7664,130,85,60,2
878,7581,160,102,61,4
879,7615,146,100,52,7
880,7374,142,89,56,5
881,7442,131,96,53,5
882,7526,122,78,48,5
883,7600,130,80,59,4
884,7719,135,80,41,5
885,7634,128,85,61,9
886,7681,145,78,61,7
887,7621,123,79,54,2
888,7619,136,85,50,4
889,7702,148,87,47,7
890,7593,137,97,58,3
891,7479,149,89,58,5
892,7483,128,89,48,11
893,7566,121,98,54,7
894,7562,132,84,72,5
895,7750,120,96,58,3
896,7558,140,93,59,3
897,7538,152,88,62,11
898,7681,133,73,72,2
899,7539,130,88,61,4
900,7597,140,78,51,10
901,7602,123,87,58,3
902,7595,133,78,61,7
903,7708,118,90,58,2
904,7557,140,94,68,10
905,7685,133,74,55,3
906,7607,132,92,50,6
907,7645,130,83,58,7
908,7621,138,83,54,7
909,7659,145,88,64,7
910,7473,126,84,51,5
911,7593,139,81,58,7
912,7442,146,102,42,5
913,7568,127,75,53,3
914,7607,135,65,55,8
915,7654,134,89,65,6
916,7556,116,86,52,0
917,7627,121,70,58,5
918,7561,116,76,51,6
919,7628,116,93,57,2
920,7502,141,102,56,4
921,7427,151,90,59,3
922,7477,142,96,44,5
923,7618,120,70,56,6
924,7508,142,88,52,7
925,7508,130,76,54,4
926,7616,139,81,35,5
927,7510,145,78,57,4
928,7537,139,69,63,4
929,7481,141,91,72,6
930,7609,146,90,71,7
931,7505,129,85,59,3
932,7344,121,76,57,3
933,7610,130,97,49,9
934,7573,147,87,59,3
935,7535,136,85,66,6
936,7573,149,88,60,7
937,7690,148,80,50,6
938,7606,139,72,50,4
939,7722,145,80,67,9
940,7745,156,82,51,9
941,7655,125,106,46,3
942,7666,149,94,45,8
943,7537,136,86,58,2
944,7528,138,100,64,8
945,7369,115,75,62,2
946,7477,106,90,59,3
947,7647,134,80,59,4
948,7649,136,88,53,5
949,7597,119,97,64,8
950,7567,140,84,52,8
951,7704,144,98,63,5
952,7564,121,83,46,2
953,7733,133,88,71,6
954,7474,143,100,63,3
955,7521,151,94,60,3
956,7475,139,69,63,3
957,7501,144,102,63,2
958,7389,141,76,77,5
959,7599,128,91,54,5
960,7399,123,99,47,8
961,7464,141,86,54,4
962,7686,137,106,74,4
963,7569,126,87,51,4
964,7718,145,93,56,5
965,7579,135,78,45,8
966,7437,137,80,47,6
967,7696,131,100,58,10
968,7684,129,107,67,3
969,7459,140,100,58,5
970,7628,138,103,46,5
971,7540,149,90,51,8
972,7613,155,85,48,6
973,7568,134,80,51,4
974,7428,125,88,58,8
975,7466,128,75,38,4
976,7601,130,73,46,6
977,7471,158,74,69,4
978,7680,124,79,57,2
979,7456,131,89,54,5
980,7462,129,81,72,2
981,7558,113,97,63,4
982,7605,122,103,66,4
983,7468,147,79,61,3
